Date,Lo 30,Med 40,Hi 30
2020-09-29,   -0.19,   -0.73,   -1.37
2020-09-30,    0.83,    0.58,    1.08
2020-10-01,    0.99,    0.40,    0.19
2020-10-02,   -1.69,    0.32,    1.11
2020-10-05,    2.05,    1.66,    2.02
2020-10-06,   -1.46,   -0.81,   -0.94
2020-10-07,    1.85,    1.70,    2.08
2020-10-08,    0.53,    1.43,    1.67
2020-10-09,    1.37,    0.04,   -0.12
2020-10-12,    1.94,    0.83,    1.06
2020-10-13,   -0.25,   -0.74,   -1.86
2020-10-14,   -0.65,   -0.53,   -1.07
2020-10-15,   -0.43,    0.43,    1.02
2020-10-16,   -0.19,    0.21,   -0.05
2020-10-19,   -1.68,   -1.31,   -1.32
2020-10-20,    0.36,    0.30,    1.23
2020-10-21,   -0.26,   -0.40,   -0.52
2020-10-22,    0.21,    1.65,    1.99
2020-10-23,    0.50,    0.02,    0.55
2020-10-26,   -1.70,   -2.10,   -2.42
2020-10-27,    0.30,   -1.20,   -2.14
2020-10-28,   -3.64,   -3.16,   -2.55
2020-10-29,    1.25,    0.99,    1.20
2020-10-30,   -2.02,   -0.16,    0.05
2020-11-02,    0.84,    1.78,    2.23
2020-11-03,    1.88,    1.97,    2.11
2020-11-04,    3.41,    0.33,   -1.97
2020-11-05,    2.16,    1.80,    2.67
2020-11-06,    0.25,   -0.42,   -0.99
2020-11-09,   -0.94,    4.47,    8.01
2020-11-10,   -0.92,    1.26,    1.84
2020-11-11,    1.47,   -0.33,   -0.64
2020-11-12,   -0.66,   -1.44,   -1.97
2020-11-13,    0.98,    2.02,    2.22
2020-11-16,    0.73,    2.04,    2.81
2020-11-17,   -0.25,   -0.37,    0.10
2020-11-18,   -0.90,   -1.21,   -0.90
2020-11-19,    0.69,    0.29,    0.29
2020-11-20,   -0.63,   -0.27,   -0.70
2020-11-23,    0.24,    1.74,    2.39
2020-11-24,    1.04,    2.33,    3.89
2020-11-25,    0.27,   -0.63,   -0.81
2020-11-27,    0.66,   -0.03,   -0.54
2020-11-30,    0.00,   -1.39,   -2.52
2020-12-01,    1.10,    1.07,    1.39
2020-12-02,   -0.18,    0.88,    0.99
2020-12-03,    0.00,    0.32,    0.36
2020-12-04,    0.78,    1.40,    1.78
2020-12-07,    0.21,   -0.30,   -0.86
2020-12-08,    0.44,    0.56,    0.05
2020-12-09,   -1.38,   -0.43,    0.15
2020-12-10,    0.16,    0.12,    0.43
2020-12-11,   -0.09,    0.06,   -1.13
2020-12-14,    0.14,   -1.08,   -1.26
2020-12-15,    1.20,    1.54,    1.82
2020-12-16,    0.34,   -0.37,   -0.21
2020-12-17,    0.87,    0.46,    0.54
2020-12-18,    0.11,   -0.75,   -0.88
2020-12-21,   -0.28,   -0.62,    0.80
2020-12-22,    0.30,   -0.53,   -0.97
2020-12-23,   -0.37,    0.96,    1.94
2020-12-24,    0.36,    0.14,   -0.02
2020-12-28,    0.79,    0.18,    0.33
