Date,Lo 30,Med 40,Hi 30
2020-06-18,    0.11,    0.00,    0.28
2020-06-19,   -0.39,   -0.83,   -0.20
2020-06-22,    0.50,    0.32,    1.12
2020-06-23,    0.48,    0.28,    0.52
2020-06-24,   -2.35,   -2.86,   -2.63
2020-06-25,    1.24,    1.14,    1.04
2020-06-26,   -2.14,   -2.35,   -2.68
2020-06-29,    1.63,    1.70,    1.34
2020-06-30,    1.32,    1.47,    1.87
2020-07-01,   -0.32,   -0.19,    1.41
2020-07-02,    0.52,    0.55,    0.47
2020-07-06,    1.48,    1.32,    2.11
2020-07-07,   -0.84,   -1.18,   -0.91
2020-07-08,    0.91,    0.52,    1.25
2020-07-09,   -0.71,   -1.09,    0.11
2020-07-10,    0.86,    1.48,    0.88
2020-07-13,   -0.36,   -0.61,   -2.17
2020-07-14,    1.81,    1.21,    1.28
2020-07-15,    1.29,    1.33,    0.86
2020-07-16,   -0.44,   -0.23,   -0.50
2020-07-17,    0.30,    0.21,    0.39
2020-07-20,    0.29,    0.24,    2.21
2020-07-21,    0.28,    0.75,   -0.52
2020-07-22,    0.47,    0.65,    0.37
2020-07-23,   -1.47,   -0.78,   -1.49
2020-07-24,   -0.69,   -0.90,   -0.61
2020-07-27,    1.30,    0.34,    1.22
2020-07-28,   -0.97,   -0.43,   -1.10
2020-07-29,    1.20,    1.19,    1.59
2020-07-30,   -0.02,   -0.82,    0.12
2020-07-31,    2.24,   -0.13,    0.57
2020-08-03,    1.35,    1.05,    0.70
2020-08-04,    0.61,    0.19,    0.43
2020-08-05,    0.56,    0.55,    1.09
2020-08-06,    0.73,    0.30,    0.66
2020-08-07,   -0.36,    0.57,   -0.32
2020-08-10,    1.07,    0.53,   -0.50
2020-08-11,   -1.05,   -0.37,   -1.19
2020-08-12,    1.72,    1.03,    1.62
2020-08-13,   -0.11,   -0.40,    0.40
2020-08-14,   -0.01,    0.15,   -0.23
2020-08-17,    0.21,    0.05,    0.97
2020-08-18,    0.04,   -0.24,    0.78
2020-08-19,   -0.24,   -0.37,   -0.45
2020-08-20,    0.27,   -0.07,    0.73
2020-08-21,    1.52,   -0.01,   -0.12
2020-08-24,    1.25,    1.10,    0.59
2020-08-25,   -0.15,    0.15,    0.80
2020-08-26,    0.55,    0.31,    1.92
2020-08-27,   -0.24,    0.75,   -0.15
2020-08-28,    0.36,    0.96,    0.61
2020-08-31,    0.53,   -0.88,    0.48
2020-09-01,    1.38,    0.46,    1.10
2020-09-02,    0.48,    1.68,    1.29
2020-09-03,   -4.47,   -2.79,   -4.16
2020-09-04,   -0.30,   -0.38,   -1.60
2020-09-08,   -3.45,   -2.52,   -3.09
2020-09-09,    2.37,    1.68,    2.32
2020-09-10,   -2.06,   -1.51,   -1.57
2020-09-11,    0.05,    0.43,   -0.55
2020-09-14,    1.90,    1.30,    1.67
2020-09-15,    0.31,    0.15,    1.11
2020-09-16,   -0.65,    0.13,   -0.80
2020-09-17,   -0.57,   -0.64,   -1.20
2020-09-18,   -1.54,   -0.79,   -0.69
2020-09-21,   -0.62,   -1.61,   -0.75
2020-09-22,    0.62,    0.78,    1.43
2020-09-23,   -2.79,   -1.99,   -2.78
2020-09-24,    0.30,    0.42,    0.09
2020-09-25,    1.81,    1.21,    2.14
2020-09-28,    1.82,    1.50,    1.72
2020-09-29,   -0.69,   -0.68,   -0.05
2020-09-30,    1.17,    0.84,    0.56
2020-10-01,    0.43,    0.44,    1.30
2020-10-02,   -1.12,   -0.42,   -1.41
2020-10-05,    2.26,    1.65,    2.05
2020-10-06,   -1.59,   -1.04,   -1.39
2020-10-07,    1.94,    1.60,    2.01
2020-10-08,    0.66,    0.97,    0.70
2020-10-09,    0.92,    0.65,    1.21
2020-10-12,    2.29,    1.10,    1.64
2020-10-13,   -1.20,   -0.57,    0.09
2020-10-14,   -0.18,   -0.60,   -0.92
2020-10-15,    0.09,    0.09,   -0.33
2020-10-16,   -0.35,    0.20,   -0.17
2020-10-19,   -1.70,   -1.58,   -1.42
2020-10-20,    0.68,    0.28,    0.28
2020-10-21,   -0.59,   -0.34,   -0.26
2020-10-22,    0.38,    0.96,    0.51
2020-10-23,    0.00,    0.20,    0.76
2020-10-26,   -1.55,   -2.04,   -1.81
2020-10-27,   -0.39,   -0.76,    0.33
2020-10-28,   -3.45,   -3.21,   -3.60
2020-10-29,    1.72,    0.81,    1.14
2020-10-30,   -2.11,   -0.49,   -1.96
2020-11-02,    1.18,    1.53,    0.84
2020-11-03,    1.81,    1.91,    1.99
2020-11-04,    1.48,    1.24,    3.57
2020-11-05,    2.62,    1.82,    2.12
2020-11-06,   -0.15,   -0.19,    0.25
